referenznummer,titel,hauptberuf,firma,vollzeit,verguetungsangabe,festgehalt,gehaltsspanne_von,gehaltsspanne_bis,plz,ort,strasse,veroeffentlicht_am,eintritt_von,entfernung_km,quereinstieg_geeignet
14751-117A3283-S,Lagerhelfer (m/w/d) für die Spätschicht,Lager- und Transportarbeiter/in,mika Personaldienstleistungen GmbH NL Hamburg,True,STUNDENLOHN,,16.0,16.5,14979,Großbeeren,,2026-06-04,2026-06-30,18,False
12016-10004875522-S,Lagerhelfer - Verpackung von Waren (m/w/d),Kommissionierer/in,PerZukunft Arbeitsvermittlung GmbH&Co.KG GmbH & Co. KG,True,STUNDENLOHN,19.55,,,13055,Berlin,,2026-07-15,2026-07-17,6,False
12016-10004893381-S,Lagerhelfer (m/w/d) Verpackungshelfer gesucht,Lager- und Transportarbeiter/in,PerZukunft Arbeitsvermittlung GmbH&Co.KG,True,STUNDENLOHN,19.47,,,13353,Berlin,,2026-07-17,2026-07-17,6,False
12016-10004765924-S,Lagerhelfer (m/w/d) für Metallbereich - Friedenau,"Helfer/in - Lagerwirtschaft, Transport",PerZukunft Arbeitsvermittlung GmbH&Co.KG,True,STUNDENLOHN,13.9,,,10963,Berlin,,2026-07-01,2026-07-03,3,False
12016-10004809742-S,Lagerhelfer - Kunststoffbranche - ab sofort (m/w/d),"Helfer/in - Lagerwirtschaft, Transport",PerZukunft Arbeitsvermittlung GmbH&Co.KG GmbH & Co. KG,True,STUNDENLOHN,15.06,,,10243,Berlin,,2026-07-07,2026-07-09,1,False
12016-10004793126-S,Lagerhelfer / Gabelstaplerfahrer gesucht Berlin (m/w/d),"Helfer/in - Lagerwirtschaft, Transport",PerZukunft Arbeitsvermittlung GmbH&Co.KG,True,STUNDENLOHN,13.0,,,10179,Berlin,,2026-07-05,2026-07-06,1,False
12016-10004913353-S,Lagerhelfer m/w/d Verpackung - Vollzeit - Unbefristet,Lager- und Transportarbeiter/in,PerZukunft Arbeitsvermittlung GmbH&Co.KG,True,STUNDENLOHN,13.9,,,13355,Berlin,,2026-07-21,2026-07-22,4,False
10001-1002702200-S,Lagerhelfer (m/w/d) in Berlin mit B2,"Helfer/in - Lagerwirtschaft, Transport",Maria Ximena Lopez Henao - Job Zentrum,True,KEINE_ANGABEN,,,,10437,Berlin,Eberswalder Straße,2026-03-04,2026-06-05,3,
12016-10004907941-S,Lagerhelfer(m/w/d)-vollzeit-tagesschicht.,Fachkraft - Lagerlogistik,PerZukunft Arbeitsvermittlung GmbH&Co.KG GmbH & Co. KG,True,STUNDENLOHN,12.95,,,12683,Berlin,,2026-07-20,2026-07-21,9,False
12016-10004893406-S,Lagerhelfer (m/w/d) - Modehaus - zeitlich flexibel,"Helfer/in - Lagerwirtschaft, Transport",PerZukunft Arbeitsvermittlung GmbH&Co.KG,True,STUNDENLOHN,13.86,,,12047,Berlin,,2026-07-17,2026-07-19,2,False
12016-10004837926-S,Lagerhelfer  (m/w/d) - Berlin Buckow,"Helfer/in - Lagerwirtschaft, Transport",PerZukunft Arbeitsvermittlung GmbH&Co.KG GmbH & Co. KG,True,STUNDENLOHN,20.71,,,13359,Berlin,,2026-07-10,2026-07-11,6,False
12016-10004844101-S,Lagerhelfer (m/w/d) - Autoindustrie - übertariflich,"Helfer/in - Lagerwirtschaft, Transport",PerZukunft Arbeitsvermittlung GmbH&Co.KG GmbH & Co. KG,True,STUNDENLOHN,13.9,,,13055,Berlin,,2026-07-12,2026-07-14,6,False
12016-10004901554-S,"Lagerhelfer (m/w/d) - Versandfirma - Unbefristet - 12,85EUR",Lager- und Transportarbeiter/in,PerZukunft Arbeitsvermittlung GmbH&Co.KG,True,STUNDENLOHN,13.9,,,10179,Berlin,,2026-07-19,2026-07-21,1,False
12016-10004842154-S,Lagerhelfer - Festanstellung - Berlin  (m/w/d),Lager- und Transportarbeiter/in,PerZukunft Arbeitsvermittlung GmbH&Co.KG GmbH & Co. KG,True,STUNDENLOHN,14.0,,,12681,Berlin,,2026-07-12,2026-07-13,8,False
12016-10004858797-S,Lagerhelfer (m/w/d) - Kunststoff - Gummisohlen,Kommissionierer/in,PerZukunft Arbeitsvermittlung GmbH&Co.KG,True,STUNDENLOHN,13.76,,,12163,Berlin,,2026-07-14,2026-07-14,9,False
12016-10004893384-S,"Lagerhelfer (m/w/d) Versand, Transport und Vorbereitung",Lager- und Transportarbeiter/in,PerZukunft Arbeitsvermittlung GmbH&Co.KG,True,STUNDENLOHN,20.1,,,10405,Berlin,,2026-07-17,2026-07-18,3,False
16088-3121754_4037130-S,Lagerhelfer Spätschicht [Minijob] (m/w/d),Fachlagerist/in,DPD Deutschland GmbH,,KEINE_ANGABEN,,,,13627,Berlin,,2026-07-13,2026-08-01,9,True
12016-10004841400-S,Lagerhelfer (m/w/d) für Elektronik - Kommissionieren,Kommissionierer/in,PerZukunft Arbeitsvermittlung GmbH&Co.KG,True,STUNDENLOHN,13.88,,,12163,Berlin,,2026-07-12,2026-07-14,9,False
12016-10004851788-S,Lagerhelfer (m/w/d) - Berlin - unbefristet,"Helfer/in - Lagerwirtschaft, Transport",PerZukunft Arbeitsvermittlung GmbH&Co.KG GmbH & Co. KG,True,STUNDENLOHN,13.0,,,12681,Berlin,,2026-07-13,2026-07-15,8,False
12016-10004871971-S,Lagerhelfer /in m/w/d - Getränkehandel - Vollzeit,"Helfer/in - Lagerwirtschaft, Transport",PerZukunft Arbeitsvermittlung GmbH&Co.KG,True,STUNDENLOHN,13.9,,,10587,Berlin,,2026-07-15,2026-07-17,7,False
10000-1203110543-S,Lagerhelfer (m/w/d) für Vollzeitbeschäftigung,"Helfer/in - Lagerwirtschaft, Transport",IDF Personalservice GmbH & Co. KG,True,KEINE_ANGABEN,,,,13127,Berlin,,2025-07-14,2026-07-22,12,
12016-10004871264-S,Lagerhelfer (m/w/d) Einzelhandel - Mitte - Unbefristet,Lager- und Transportarbeiter/in,PerZukunft Arbeitsvermittlung GmbH&Co.KG,True,STUNDENLOHN,19.69,,,10965,Berlin,,2026-07-15,2026-07-19,4,False
12016-10004841465-S,Lagerhelfer m/w/d ohne Kenntnisse,Lager- und Transportarbeiter/in,PerZukunft Arbeitsvermittlung GmbH&Co.KG,True,JAHRESGEHALT,1900.0,,,10587,Berlin,,2026-07-12,2026-07-12,7,False
12016-10004871249-S,Lagerhelfer (m/w/d) für die Tiefkühlabteilung - unbefristet,"Helfer/in - Lagerwirtschaft, Transport",PerZukunft Arbeitsvermittlung GmbH&Co.KG,True,STUNDENLOHN,13.9,,,12163,Berlin,,2026-07-15,2026-07-18,9,False
12016-10004905945-S,Lagerhelfer m/w/d - Zuschläge / Nur Wochentagen,Lager- und Transportarbeiter/in,PerZukunft Arbeitsvermittlung GmbH&Co.KG,True,JAHRESGEHALT,2900.0,,,12055,Berlin,,2026-07-20,2026-07-20,5,False
12016-10004905932-S,Lager für Sportwaren sucht Lagerhelfer (m/w/d),Kommissionierer/in,PerZukunft Arbeitsvermittlung GmbH&Co.KG,True,STUNDENLOHN,13.9,,,10587,Berlin,,2026-07-20,2026-07-24,7,False
10000-1205879296-S,Lagermitarbeiter/Lagerhelfer/Kommissionierer  (m/w/d),"Helfer/in - Lagerwirtschaft, Transport",Randstad Deutschland GmbH & Co KG Berlin Lichtenberg,True,STUNDENLOHN,14.96,,,13055,Berlin,Landsberger Allee,2026-03-18,2026-08-01,5,True
12016-10004848133-S,Lagerhelfer - Automobilherstellung - Schichtsystem! m/w/d,Lager- und Transportarbeiter/in,PerZukunft Arbeitsvermittlung GmbH&Co.KG,True,STUNDENLOHN,14.0,,,12163,Berlin,,2026-07-13,2026-07-13,9,False
12016-10004800522-S,Lagerhelfer - unbefristet - in Köpenick (m/w/d),"Helfer/in - Lagerwirtschaft, Transport",PerZukunft Arbeitsvermittlung GmbH&Co.KG GmbH & Co. KG,True,STUNDENLOHN,13.0,,,12681,Berlin,,2026-07-06,2026-07-10,8,False
12016-10004791785-S,Lagerhelfer (m/w/d) Montag bis Freitag,"Helfer/in - Lagerwirtschaft, Transport",PerZukunft Arbeitsvermittlung GmbH&Co.KG GmbH & Co. KG,True,STUNDENLOHN,13.9,,,12681,Berlin,,2026-07-04,2026-07-04,8,False
12016-10004787330-S,Lagerhelfer - Festanstellung - Vollzeit    (m/w/d),"Helfer/in - Lagerwirtschaft, Transport",PerZukunft Arbeitsvermittlung GmbH&Co.KG GmbH & Co. KG,True,STUNDENLOHN,13.0,,,12681,Berlin,,2026-07-03,2026-07-03,8,False
12016-10004787324-S,Lagerhelfer - Berlin Grünau  (m/w/d),"Helfer/in - Lagerwirtschaft, Transport",PerZukunft Arbeitsvermittlung GmbH&Co.KG GmbH & Co. KG,True,STUNDENLOHN,22.59,,,12681,Berlin,,2026-07-03,2026-07-07,8,False
12016-10004749378-S,Lagerhelfer (m/w/d) für Metallhersteller gesucht,Lager- und Transportarbeiter/in,PerZukunft Arbeitsvermittlung GmbH&Co.KG,True,STUNDENLOHN,20.99,,,12163,Berlin,,2026-06-29,2026-07-01,9,False
